"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 03 13:53:07 GMT 2025","Mon Nov 03 13:53:09 GMT 2025","1910","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 13:52:43 GMT 2025","Mon Nov 03 13:52:46 GMT 2025","2790","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Mon Nov 03 13:53:09 GMT 2025","Mon Nov 03 13:53:09 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Mon Nov 03 13:52:22 GMT 2025","Mon Nov 03 13:52:24 GMT 2025","1744","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 13:52:28 GMT 2025","Mon Nov 03 13:52:30 GMT 2025","1811","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 13:52:33 GMT 2025","Mon Nov 03 13:52:34 GMT 2025","1299","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 13:52:26 GMT 2025","Mon Nov 03 13:52:32 GMT 2025","6225","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 13:52:33 GMT 2025","Mon Nov 03 13:52:34 GMT 2025","1504","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 13:52:25 GMT 2025","Mon Nov 03 13:52:27 GMT 2025","1878","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 13:52:14 GMT 2025","Mon Nov 03 13:52:16 GMT 2025","1528","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Mon Nov 03 13:52:51 GMT 2025","Mon Nov 03 13:52:53 GMT 2025","1432","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"broken","Mon Nov 03 13:52:48 GMT 2025","Mon Nov 03 13:52:50 GMT 2025","2061","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"broken","Mon Nov 03 13:52:44 GMT 2025","Mon Nov 03 13:52:46 GMT 2025","1803","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Mon Nov 03 13:52:17 GMT 2025","Mon Nov 03 13:52:21 GMT 2025","3652","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 13:53:01 GMT 2025","Mon Nov 03 13:53:05 GMT 2025","4581","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 13:52:34 GMT 2025","Mon Nov 03 13:52:36 GMT 2025","1456","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
