"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 14:17:52 GMT 2025","Thu Oct 30 14:17:52 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Thu Oct 30 14:17:21 GMT 2025","Thu Oct 30 14:17:25 GMT 2025","4411","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Thu Oct 30 14:17:47 GMT 2025","Thu Oct 30 14:17:48 GMT 2025","1847","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Oct 30 14:17:14 GMT 2025","Thu Oct 30 14:17:16 GMT 2025","1381","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 30 14:17:27 GMT 2025","Thu Oct 30 14:17:28 GMT 2025","1824","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Thu Oct 30 14:17:11 GMT 2025","Thu Oct 30 14:17:13 GMT 2025","1814","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 30 14:17:07 GMT 2025","Thu Oct 30 14:17:14 GMT 2025","6707","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Oct 30 14:17:49 GMT 2025","Thu Oct 30 14:17:52 GMT 2025","2417","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Oct 30 14:17:18 GMT 2025","Thu Oct 30 14:17:19 GMT 2025","1403","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Thu Oct 30 14:17:35 GMT 2025","Thu Oct 30 14:17:37 GMT 2025","2889","LMS system","Courses","Curses","","","Create course",""
"passed","Thu Oct 30 14:17:42 GMT 2025","Thu Oct 30 14:17:46 GMT 2025","3505","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Thu Oct 30 14:17:18 GMT 2025","Thu Oct 30 14:17:20 GMT 2025","1696","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Thu Oct 30 14:17:07 GMT 2025","Thu Oct 30 14:17:10 GMT 2025","2206","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 30 14:16:55 GMT 2025","Thu Oct 30 14:16:58 GMT 2025","2950","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Oct 30 14:17:52 GMT 2025","Thu Oct 30 14:17:52 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Thu Oct 30 14:17:21 GMT 2025","Thu Oct 30 14:17:26 GMT 2025","4191","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Thu Oct 30 14:17:52 GMT 2025","Thu Oct 30 14:17:52 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Thu Oct 30 14:17:34 GMT 2025","Thu Oct 30 14:17:35 GMT 2025","1461","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Thu Oct 30 14:17:14 GMT 2025","Thu Oct 30 14:17:15 GMT 2025","1603","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 30 14:17:16 GMT 2025","Thu Oct 30 14:17:18 GMT 2025","1603","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 30 14:17:37 GMT 2025","Thu Oct 30 14:17:41 GMT 2025","3872","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Thu Oct 30 14:16:55 GMT 2025","Thu Oct 30 14:16:56 GMT 2025","1629","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 30 14:17:16 GMT 2025","Thu Oct 30 14:17:18 GMT 2025","1588","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Thu Oct 30 14:17:30 GMT 2025","Thu Oct 30 14:17:32 GMT 2025","2290","LMS system","Courses","Curses","","","Create course",""
"passed","Thu Oct 30 14:17:00 GMT 2025","Thu Oct 30 14:17:03 GMT 2025","3124","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Oct 30 14:17:00 GMT 2025","Thu Oct 30 14:17:02 GMT 2025","2049","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 30 14:17:39 GMT 2025","Thu Oct 30 14:17:42 GMT 2025","3014","LMS system","Courses","Curses","","","Create course",""
"passed","Thu Oct 30 14:17:53 GMT 2025","Thu Oct 30 14:17:53 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Thu Oct 30 14:17:52 GMT 2025","Thu Oct 30 14:17:52 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Thu Oct 30 14:17:50 GMT 2025","Thu Oct 30 14:17:52 GMT 2025","2471","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Oct 30 14:17:27 GMT 2025","Thu Oct 30 14:17:29 GMT 2025","1448","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Thu Oct 30 14:16:57 GMT 2025","Thu Oct 30 14:16:58 GMT 2025","1580","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
