"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 03 14:07:43 GMT 2025","Mon Nov 03 14:07:45 GMT 2025","1341","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Mon Nov 03 14:07:51 GMT 2025","Mon Nov 03 14:07:53 GMT 2025","1768","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 14:07:58 GMT 2025","Mon Nov 03 14:07:58 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Mon Nov 03 14:07:58 GMT 2025","Mon Nov 03 14:07:58 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Mon Nov 03 14:07:34 GMT 2025","Mon Nov 03 14:07:36 GMT 2025","2183","LMS system","Courses","Curses","","","Create course",""
"passed","Mon Nov 03 14:07:10 GMT 2025","Mon Nov 03 14:07:12 GMT 2025","1996","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:07:58 GMT 2025","Mon Nov 03 14:07:58 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Mon Nov 03 14:07:24 GMT 2025","Mon Nov 03 14:07:26 GMT 2025","1649","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"broken","Mon Nov 03 14:07:35 GMT 2025","Mon Nov 03 14:07:36 GMT 2025","1415","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Mon Nov 03 14:07:09 GMT 2025","Mon Nov 03 14:07:13 GMT 2025","3223","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 14:07:47 GMT 2025","Mon Nov 03 14:07:51 GMT 2025","3748","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 14:07:21 GMT 2025","Mon Nov 03 14:07:23 GMT 2025","1499","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:07:58 GMT 2025","Mon Nov 03 14:08:00 GMT 2025","2274","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 14:07:05 GMT 2025","Mon Nov 03 14:07:06 GMT 2025","1687","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Mon Nov 03 14:07:40 GMT 2025","Mon Nov 03 14:07:42 GMT 2025","1803","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Mon Nov 03 14:08:00 GMT 2025","Mon Nov 03 14:08:00 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Mon Nov 03 14:07:14 GMT 2025","Mon Nov 03 14:07:16 GMT 2025","1774","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:07:45 GMT 2025","Mon Nov 03 14:07:47 GMT 2025","2716","LMS system","Courses","Curses","","","Create course",""
"passed","Mon Nov 03 14:07:21 GMT 2025","Mon Nov 03 14:07:22 GMT 2025","1256","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:07:05 GMT 2025","Mon Nov 03 14:07:08 GMT 2025","3181","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 14:07:40 GMT 2025","Mon Nov 03 14:07:43 GMT 2025","2940","LMS system","Courses","Curses","","","Create course",""
"passed","Mon Nov 03 14:07:52 GMT 2025","Mon Nov 03 14:07:57 GMT 2025","4278","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 14:07:07 GMT 2025","Mon Nov 03 14:07:09 GMT 2025","1630","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:07:48 GMT 2025","Mon Nov 03 14:07:51 GMT 2025","3211","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 14:07:58 GMT 2025","Mon Nov 03 14:07:58 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Mon Nov 03 14:07:58 GMT 2025","Mon Nov 03 14:07:58 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Mon Nov 03 14:07:27 GMT 2025","Mon Nov 03 14:07:30 GMT 2025","2174","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Mon Nov 03 14:07:31 GMT 2025","Mon Nov 03 14:07:33 GMT 2025","1879","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Mon Nov 03 14:07:23 GMT 2025","Mon Nov 03 14:07:24 GMT 2025","1534","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Nov 03 14:07:18 GMT 2025","Mon Nov 03 14:07:20 GMT 2025","2639","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:07:28 GMT 2025","Mon Nov 03 14:07:29 GMT 2025","1320","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Nov 03 14:07:15 GMT 2025","Mon Nov 03 14:07:21 GMT 2025","6012","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 14:07:24 GMT 2025","Mon Nov 03 14:07:25 GMT 2025","1604","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:07:55 GMT 2025","Mon Nov 03 14:07:58 GMT 2025","2365","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 14:07:30 GMT 2025","Mon Nov 03 14:07:32 GMT 2025","2160","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Nov 03 14:07:25 GMT 2025","Mon Nov 03 14:07:27 GMT 2025","1821","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
