"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 03 14:17:30 GMT 2025","Mon Nov 03 14:17:32 GMT 2025","2145","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 14:17:33 GMT 2025","Mon Nov 03 14:17:35 GMT 2025","1818","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Mon Nov 03 14:17:06 GMT 2025","Mon Nov 03 14:17:08 GMT 2025","1490","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Mon Nov 03 14:17:23 GMT 2025","Mon Nov 03 14:17:27 GMT 2025","4303","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 14:16:33 GMT 2025","Mon Nov 03 14:16:35 GMT 2025","1735","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:17:00 GMT 2025","Mon Nov 03 14:17:01 GMT 2025","1799","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Mon Nov 03 14:16:35 GMT 2025","Mon Nov 03 14:16:37 GMT 2025","1563","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:16:33 GMT 2025","Mon Nov 03 14:16:36 GMT 2025","3146","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 14:16:50 GMT 2025","Mon Nov 03 14:16:56 GMT 2025","6038","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 14:16:58 GMT 2025","Mon Nov 03 14:16:59 GMT 2025","1361","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Nov 03 14:16:53 GMT 2025","Mon Nov 03 14:16:55 GMT 2025","1944","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:17:12 GMT 2025","Mon Nov 03 14:17:14 GMT 2025","2453","LMS system","Courses","Curses","","","Create course",""
"passed","Mon Nov 03 14:17:29 GMT 2025","Mon Nov 03 14:17:30 GMT 2025","1892","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 14:17:16 GMT 2025","Mon Nov 03 14:17:20 GMT 2025","3235","LMS system","Courses","Curses","","","Create course",""
"passed","Mon Nov 03 14:17:00 GMT 2025","Mon Nov 03 14:17:02 GMT 2025","2127","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Nov 03 14:17:31 GMT 2025","Mon Nov 03 14:17:31 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Mon Nov 03 14:17:23 GMT 2025","Mon Nov 03 14:17:27 GMT 2025","4776","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 14:16:55 GMT 2025","Mon Nov 03 14:16:57 GMT 2025","1772","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:17:31 GMT 2025","Mon Nov 03 14:17:31 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Mon Nov 03 14:16:43 GMT 2025","Mon Nov 03 14:16:44 GMT 2025","1802","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:17:31 GMT 2025","Mon Nov 03 14:17:31 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Mon Nov 03 14:16:56 GMT 2025","Mon Nov 03 14:16:57 GMT 2025","1366","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:17:31 GMT 2025","Mon Nov 03 14:17:31 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"broken","Mon Nov 03 14:17:13 GMT 2025","Mon Nov 03 14:17:14 GMT 2025","1403","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
